1,花束みたいな恋をした,勿忘,Awesome City Club
1,さよならくちびる,さよならくちびる,秦 基博
1,溺れるナイフ,コミック・ジェネレイション,ドレスコーズ
1,愛がなんだ,Cakes,Homecomings
1,生きてるだけで、愛。,Raw Scaramanga,世武裕子

2,Love Letter,,
2,鉄道員（ぽっぽや）,鉄道員,坂本龍一
2,WASABI,,
2,スワロウテイル,Swallowtail Butterfly 〜あいのうた〜,小林武史
2,紅の豚,さくらんぼの実る頃,加藤登紀子
2,THE 有頂天ホテル,If My Friends Could See Me Now,桜チェリー
2,アメリカン・グラフィティ,Rock Around the Clock,William John Clifton Haley
2,マイケル・ジャクソン THIS IS IT,,
2,ネバーエンディング・ストーリー,The Never Ending Story ,Limahl
2,モモ,,

3,ライアーゲーム －再生－,,
3,コンフィデンスマンJP,Anarchy,髭男dism
3,ヒョンジェ　～釜山港の兄弟～,,
3,パラサイト 半地下の家族,Soju One Glass,チェ・ウシク
3,ペイ・フォワード　可能の王国,Calling All Angels, jane siberry
4,ファンタスティック・ビーストと黒い魔法使いの誕生,,
4,君の名は。,前前前世,RADWIMPS
4,バックドラフト,,
4,バック・トゥ・ザ・フューチャー,パワー・オブ・ラヴ,ヒューイ・ルイス
4,ヒューイ・ルイス,,
4,ロビン・フッド,ブライアン・アダムス「(Everything I Do) I Do It for You」, Bryan Adams 
4,ザ・マジックアワー,,
4,仮面病棟,AS ONE,UVERworld
5,スーパーマン リターンズ,,
5,リーグ・オブ・レジェンド／時空を超えた戦い,,
5,THE 有頂天ホテル,If My Friends Could See Me Now,桜チェリー
5,新機動戦記ガンダムW Endless Waltz 特別篇,LAST IMPRESSION,TWO-MIX
5,サマーウォーズ,僕らの夏の夢,山下達郎 
6,ONE PIECE　ワンピース　THE MOVIE　デッドエンドの冒険,sailing day,BUMP OF CHICKEN
6,HiGH&LOW THE MOVIE 2 / END OF SKY,,
6,名探偵コナン　紺青の拳（こんじょうのフィスト）,SUPERMOON,EXILE HIRO
6,劇場版 NARUTO－ナルト－　疾風伝,Lie-Lie-Lie,DJ OZMA
6,銀魂 THE FINAL,轍～Wadachi～,SPYAIR
6,バイオハザード：ヴェンデッタ,,
6,劇場版「鬼滅の刃」無限列車編,炎,LiSA
6,劇場版ポケットモンスター／ダイヤモンド＆パール　ディアルガVSパルキアVSダークライ,ビー・ウィズ・ユー〜いつもそばに〜,サラ・ブライトマン
6,花より男子ファイナル,One Love,嵐
