,
キャスト・アウェイ Cast Away (2000) ,
ホワット・ライズ・ビニース What Lies Beneath (2000) ,
スチュアート・リトル Stuart Little (1999) ,
プラクティカル・マジック Practical Magic (1998) ,
ホーリーマン Holy Man (1998) ,
おかしな二人2 The Odd Couple 2 (1998) ,
ファミリー・ゲーム/双子の天使 The Parent Trap (1998) ,
マウス・ハント Mouse Hunt (1997) ,
コンタクト Contact (1997) ,
愛さずにはいられない Fools Rush In (1997) ,
ボルケーノ Volcano (1997) ,
ロング・キス・グッドナイト The Long Kiss Goodnight (1996) ,
イレイザー Eraser (1996) ,「Where Do We Go From Here(愛のゆくえ)」Vanessa Williiams(バネッサ・ウィリアムス)、デビッド・フォスター(プロデュース)
花嫁のパパ2 Father of the Bride Part II (1995) ,
ラブリー・オールドメン/釣り大将LOVE LOVE日記 Grumpier Old Men (1995) ,
ジャッジ・ドレッド Judge Dredd (1995) ,
太陽に抱かれて The Perez Family (1995) ,
クイック＆デッド The Quick and the Dead (1995) ,
ブローン・アウェイ/復讐の序曲 Blown Away (1994) ,
探偵ボーグ/わたし、忘れてます。 Clean Slate (1994) ,
フォレスト・ガンプ/一期一会 Forrest Gump (1994) ,
リッチー・リッチ Richie Rich (1994) ,
コップ・アンド・ハーフ Cop & 1/2 (Cop and a Half) (1993) ,
ラブリー・オールドメン Grumpy Old Men (1993) ,
ジャッジメント・ナイト Judgment Night (1993) ,
スーパーマリオ/魔界帝国の女神 Super Mario Bros. (1993) ,日本ヘラルド映画
グリーンガリー/永遠の熱帯雨林 FernGully: The Last Rainforest (1992) ,
永遠に美しく… Death Becomes Her (1992) ,
ボディガード The Bodyguard (1992) ,
サイドキックス Sidekicks (1992) ,
刑事ジョー/ママにお手あげ Stop! Or My Mom Will Shoot (1992) ,
あぶない週末 Dutch (1991) ,
花嫁のパパ Father of the Bride (1991) ,
リコシェ Ricochet (1991) ,
プラスティック・ナイトメア/仮面の情事 Shattered (1991) ,
ソープ・ディッシュ Soapdish (1991) ,
バック・トゥ・ザ・フューチャー3 Back to the Future Part III (1990) ,
ダウンタウン Downtown (1990) ,
プレデター2 Predator 2 (1990) ,
ヤングガン2 Young Guns II (1990) ,
アビス The Abyss (1989) ,
バック・トゥ・ザ・フューチャー2 Back to the Future Part II (1989) ,
テンプテーション 15才 She's Out of Control (1989) ,
マック Mac and Me (1988) ,
花嫁はエイリアン My Stepmother Is an Alien (1988) ,
ロジャー・ラビット Who Framed Roger Rabbit (1988) ,
