イレイザー Eraser (1996) ,Where Do We Go From Here(愛のゆくえ),Vanessa Williiams(バネッサ・ウィリアムス)、デビッド・フォスター(プロデュース)
スーパーマリオ/魔界帝国の女神 Super Mario Bros. (1993) ,,
バック・トゥ・ザ・フューチャー Back to the Future (1985) ,Power of Love(パワー・オブ・ラヴ),Huey Lewis &amp; the News(ヒューイ・ルイス&amp;ザ・ニュース) … サントラや、アルバム「
シャレード'79 Somebody Killed Her Husband (1978) ,Love Keeps Getting Stronger Everyday(愛は華麗に),Neil Sedaka(ニール・セダカ) … 公開当時、LPレコードでシングルがリリースされていたようです。ニール・セダカのアルバム「All You Need Is the Music」に収録されているもよう。 
踊る大捜査線 THE MOVIE 湾岸署史上最悪の3日間！ (1998) ,Love Somebody(CINEMA version),織田裕二
踊る大捜査線「歳末特別警戒スペシャル」 (1997) ,Love Somebody,織田裕二withマキシ・プリースト(歌・作詞)、GARDEN(作曲)、松本晃彦(編曲)
踊る大捜査線 (1997) ,Love Somebody,織田裕二withマキシ・プリースト(歌・作詞)、GARDEN(作曲)、松本晃彦(編曲)
"ベスト・キッド2 The Karate Kid, Part II (1986) ",Glory of Love(グローリー・オブ・ラブ),Peter Cetera(ピーター・セテラ)
ベスト・キッド The Karate Kid (1984) ,The Moment Of Truth(ザ・モーメント・オブ・トゥルース),Survivor(サバイバー)
ロッキー3 Rocky III (1982) ,Eye Of The Tiger(アイ・オブ・ザ・タイガー),Survivor(サバイバー) … アカデミー主題歌賞にノミネート。
007/ユア・アイズ・オンリー For Your Eyes Only (1981) ,For Your Eyes Only(ユア・アイズ・オンリー),Sheena Easton(シーナ・イーストン)
フリー・ウィリー2 Free Willy 2: The Adventure Home (1995) ,Childhood,Michael Jackson(マイケル・ジャクソン)
フリー・ウィリー Free Willy (1993) ,Will You Be There,Michael Jackson(マイケル・ジャクソン)
アイアン・イーグル Iron Eagle (1986) ,One Vision(ワン・ヴィジョン),Queen(クイーン)
トゥルーライズ True Lies (1994) ,Sunshine Of Your Love(サンシャイン・ラヴ),Living Colour(リヴィング・カラー) … オリジナルは、Cream(クリーム)。アルバム「
ターミネーター2 Terminator 2: Judgment Day (1991) ,You Could Be Mine(ユー・クッド・ビー・マイン),Guns N' Roses(ガンズ・アンド・ローゼズ) … アルバム「
マイ・ガール2 My Girl 2 (1994) ,My Girl,The Temptations
メン・イン・ブラック Men in Black (1997) ,Men In Black,Will Smith
