フリー・ウィリー2 Free Willy 2: The Adventure Home (1995) ,Childhood,Michael Jackson(マイケル・ジャクソン),"Childhood (Theme from ""Free Willy 2"")","HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,1995-06-16,267533,44,4,1,0.175,0.799,0.204,4.88e-05,0.147,-11.414,0.0362,73.106,3,0.0795
フリー・ウィリー Free Willy (1993) ,Will You Be There,Michael Jackson(マイケル・ジャクソン),Will You Be There,Dangerous,Michael Jackson,1991-11-13,460000,56,8,1,0.348,0.819,0.432,0.0856,0.191,-9.553,0.0388,82.911,4,0.141
ワイルド・ワイルド・ウエスト Wild Wild West (1999) ,Wild Wild West,Will Smith featuring Dru Hill &amp; Kool Moe Dee,Wild Wild West (feat. Dru Hill & Kool Mo Dee) - Album Version With Intro,Willennium,Will Smith,1999-11-16,268453,55,10,0,0.861,0.0983,0.597,0,0.176,-7.221,0.162,107.016,4,0.694
ライオン・キング The Lion King (1994) ,Circle Of Life(サークル・オブ・ライフ),,サークル・オブ・ライフ,My Favorite Songs,Kanji Ishimaru,2017-11-08,251146,6,9,1,0.43,0.557,0.544,0.00137,0.324,-8.979,0.0401,83.862,4,0.427
ティファニーで朝食を Breakfast at Tiffany's (1961) ,Moon River(ムーン・リバー),,"Moon River (Arr. Muraji) - From ""Breakfast at Tiffany's""",Cinema - Movie Themes For Classical Guitar,Kaori Muraji,2019-03-22,206026,29,7,1,0.35,0.993,0.0984,0.917,0.102,-25.537,0.0483,139.018,4,0.203
X-ファイル The X-Files (1993) ,LOVE PHANTOM,B'z,LOVE PHANTOM,LOOSE,B'z,1995-11-22,277866,48,11,0,0.482,0.0131,0.985,0.00019,0.148,-4.673,0.302,132.997,4,0.165
ルパン三世/カリオストロの城 (1979) ,炎のたからもの,,炎のたからもの,ルパン三世 カリオストロの城 オリジナル・サウンドトラック BGM集,Yuji Ohno,1983-03-21,189266,31,2,0,0.372,0.869,0.472,0.00196,0.227,-8.748,0.0319,117.987,3,0.407
恋のバカンス (1997) ,Everything(It's you),Mr.Children,Everything (It's you),BOLERO,Mr.Children,1997-03-05,319840,49,7,1,0.514,0.00182,0.643,0,0.118,-7.263,0.0263,140.036,4,0.343
不夜城 : SLEEPLESS TOWN (1998) ,The Wild Wind,"B'z … シングル「HOME」2nd Beat、アルバム「B'z The ""Mixture""」、サントラ「不夜城」に収録。",The Wild Wind,HOME,B'z,1998-07-08,225000,22,11,0,0.399,0.42,0.798,0,0.129,-4.3,0.0363,176.051,4,0.349
小さな恋のメロディ Melody (1971) ,メロディ・フェア,,メロディ・フェア,世界のうた こころのうた 第一集 -コンドルは飛んでゆく-,Sojiro,2005-03-23,188160,11,2,1,0.34,0.894,0.138,0.788,0.343,-16.706,0.0354,76.746,4,0.126
