イレイザー Eraser (1996) ,Where Do We Go From Here,Where Do We Go From Here,The Amalgamut,Filter,2002-07-30,334933,45,7,1,0.501,0.000273,0.785,0.0123,0.36,-6.205,0.0329,94.109,4,0.211
バック・トゥ・ザ・フューチャー Back to the Future (1985) ,Power of Love,Power of Love,Touch,Laura Branigan,1987-06-30,325253,54,7,1,0.408,0.436,0.581,0.000239,0.145,-7.926,0.0365,137.028,4,0.212
踊る大捜査線 THE MOVIE 湾岸署史上最悪の3日間！ (1998) ,Love Somebody,Love Somebody,Overexposed (Deluxe),Maroon 5,2012-01-01,229813,59,1,1,0.675,0.145,0.792,0,0.12,-6.303,0.0368,120.016,4,0.395
踊る大捜査線「歳末特別警戒スペシャル」 (1997) ,Love Somebody,Love Somebody,Overexposed (Deluxe),Maroon 5,2012-01-01,229813,59,1,1,0.675,0.145,0.792,0,0.12,-6.303,0.0368,120.016,4,0.395
踊る大捜査線 (1997) ,Love Somebody,Love Somebody,Overexposed (Deluxe),Maroon 5,2012-01-01,229813,59,1,1,0.675,0.145,0.792,0,0.12,-6.303,0.0368,120.016,4,0.395
ベスト・キッド4 The Next Karate Kid (1994) ,You Gotta Be,You Gotta Be,I Ain't Movin',Des'ree,1994-04-27,245200,66,0,1,0.623,0.211,0.669,3.2e-06,0.111,-9.985,0.0412,94.028,4,0.492
"ベスト・キッド2 The Karate Kid, Part II (1986) ",Glory of Love,Glory of Love,Solitude / Solitaire,Peter Cetera,1986,258120,73,5,1,0.518,0.0778,0.585,2.43e-06,0.31,-8.485,0.0279,144.998,4,0.312
F/X引き裂かれたトリック (1986) ,Just an Illusion,Just an Illusion,In the Heat of the Night,Imagination,1982,387866,63,11,0,0.752,0.295,0.548,0.115,0.0582,-10.532,0.0329,105.125,4,0.658
ベスト・キッド The Karate Kid (1984) ,The Moment Of Truth,The Moment Of Truth,Survivor Greatest Hits,Survivor,1993-01-01,226093,38,2,1,0.695,0.344,0.733,0.00031,0.438,-10.965,0.0446,138.775,4,0.519
ロッキー3 Rocky III (1982) ,Eye Of The Tiger,Eye Of The Tiger,Rocky III: Music From The Motion Picture,Various Artists,1982-01-01,233533,51,5,0,0.815,0.243,0.497,0.000245,0.0682,-13.633,0.0345,107.024,4,0.611
007/ユア・アイズ・オンリー For Your Eyes Only (1981) ,For Your Eyes Only,For Your Eyes Only,You Could Have Been With Me [Bonus Tracks Version],Sheena Easton,1981,184480,60,7,1,0.244,0.871,0.44,8.65e-05,0.372,-7.777,0.0475,82.02,4,0.113
フリー・ウィリー2 Free Willy 2: The Adventure Home (1995) ,Childhood,"Childhood (Theme from ""Free Willy 2"")",FREE WILLY 2: THE ADVENTURE HOME ORIGINAL MOTION PICTURE SOUNDTRACK,Various Artists,1995-07-28,267866,16,4,1,0.246,0.788,0.219,5.41e-05,0.181,-10.944,0.0317,79.684,1,0.11
フリー・ウィリー Free Willy (1993) ,Will You Be There,"Will You Be There (Theme from ""Free Willy) - Reprise",FREE WILLY - ORIGINAL MOTION PICTURE SOUNDTRACK,Various Artists,1993-07-16,219733,28,2,1,0.678,0.493,0.568,0.000852,0.0859,-8.339,0.0524,82.941,4,0.381
アイアン・イーグル Iron Eagle (1986) ,One Vision,One Vision,A Kind Of Magic,Queen,1986-06-02,310666,33,2,1,0.472,0.0793,0.859,0.000202,0.645,-11.866,0.181,119.989,4,0.322
トゥルーライズ True Lies (1994) ,Sunshine Of Your Love,Sunshine Of Your Love,Disraeli Gears (Deluxe Edition),Cream,2004-09-28,250400,68,2,1,0.683,0.385,0.594,8.61e-05,0.121,-8.289,0.0347,115.099,4,0.734
ターミネーター2 Terminator 2: Judgment Day (1991) ,You Could Be Mine,You Could Be Mine,Use Your Illusion II,Guns N' Roses,1991-09-18,343640,69,10,0,0.35,0.00876,0.985,0.551,0.36,-5.676,0.122,151.007,4,0.323
マイ・ガール2 My Girl 2 (1994) ,My Girl,My Girl,The Temptations Sing Smokey,The Temptations,1965-03-22,165000,79,0,1,0.572,0.635,0.418,0,0.0961,-10.738,0.0349,104.566,4,0.694
メン・イン・ブラック Men in Black (1997) ,Men In Black,Men In Black,The Maginot Line,M.I.B,2014-03-31,191398,21,11,0,0.878,0.0684,0.884,1.81e-06,0.346,-2.974,0.14,122.029,4,0.829
ランダム・ハーツ Random Hearts (1999) ,Good Thing,Good Thing,Is Whatever,DENM,2018-02-20,204764,42,2,1,0.621,0.115,0.799,0,0.139,-4.313,0.0388,139.912,4,0.548
グーニーズ The Goonies (1985) ,Goonies 'R' Good Enough,Goonies 'R' Good Enough,The Manges 'R' Good Enough,The Manges,2001-10-08,153560,6,1,0,0.306,0.000592,0.88,0,0.0542,-2.269,0.0392,96.014,4,0.469
