スマイル 聖夜の奇跡 (2007) ,Wonderland,Wonderland,1989 (Deluxe Edition),Taylor Swift,2014-10-27,245560,63,3,1,0.422,0.0493,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,4,0.197,炎,0.9953748688378252
フルスイング (2008) ,あの花のように,あの花のように,スピード☆スター,Aya Hirano,2009-11-18,235453,5,7,1,0.577,0.0266,0.818,0,0.289,-7.857,0.0329,153.897,4,0.837,夜に駆ける,0.9982441258047795,恋,0.9966045321358183,天上天下,0.9966655459661289
ヤマトタケル (1994) ,RAIN,RAIN,RAIN,Ben Platt,2019-08-23,213868,48,2,1,0.771,0.167,0.863,0,0.113,-4.831,0.0349,120.03,4,0.533,Step and a step,0.9955571935153888,TOKYO GIRL - Remastered,0.9946716906390511,JET!!!,0.9968197921553053
フルハウス Full House (1987) ,Everywhere You Look,Everywhere You Look (The Fuller House Theme),Everywhere You Look (The Fuller House Theme),Carly Rae Jepsen,2016-02-26,198207,51,6,1,0.663,0.0709,0.827,3.07e-06,0.0919,-1.796,0.0976,124.945,4,0.681,Make you happy,0.9972946725659423
役者魂！ (2006) ,みんなひとり,みんなひとり,みんなひとり,Takako Matsu,2006,264293,30,6,1,0.539,0.346,0.567,0,0.145,-6.177,0.0256,141.818,4,0.44,ドライフラワー,0.9965172394391065
天国に一番近い男 (2001) ,メッセージ,メッセージ,FOLK 2,Humbert Humbert,2018-07-25,198440,33,4,1,0.703,0.66,0.359,0,0.114,-8.243,0.0283,132.011,4,0.604,香水,0.990495366055395
斉藤さん SAITOU san (2008) ,ENGAGED,ENGAGED,dAnce to positive,TRF,1995-03-27,365766,18,7,1,0.524,0.393,0.403,4.07e-06,0.0901,-9.607,0.0276,143.818,4,0.352,裸の心,0.9970252147926608
コスメの魔法2 (2005) ,Butterfly,Butterfly,The Gift Of Game,Crazy Town,1999-11-04,216733,73,9,0,0.736,0.00132,0.811,0.000142,0.107,-4.17,0.081,103.502,4,0.609,感電,0.9942348521759026,かつて天才だった俺たちへ,0.9977957975503251
あしたの、喜多善男～世界一不運な男の、奇跡の11日間～ (2008) ,真夜中のBoon Boon,真夜中のBoon Boon,IN MY HOUSE,Masayoshi Yamazaki,2009-05-13,246373,18,0,1,0.581,0.516,0.753,0,0.206,-6.193,0.0327,92.05,4,0.826,白日,0.9932414013108619,Slow & Easy,0.9901175319260299,白日,0.9922926423069722
007/慰めの報酬 Quantum of Solace (2008) ,Another Way to Die,Another Way to Die,As I Am (Expanded Edition),Alicia Keys,2007-11-09,262240,61,4,0,0.486,0.0239,0.765,3.02e-05,0.11,-4.23,0.128,141.933,4,0.386,紅蓮華,0.9933174385730709
