0,炎,炎,LiSA,2020-10-12,275000,74,2,1,0.477,0.105,0.685,0.0,0.277,-4.554,0.0325,152.04,4,0.308
1,夜に駆ける,夜に駆ける,YOASOBI,2019-12-15,261013,77,8,1,0.67,0.00231,0.874,1.72e-05,0.3,-5.221,0.0305,130.041,4,0.789
2,Step and a step,Step and a step,NiziU,2020-11-25,201720,61,0,1,0.844,0.184,0.851,8.53e-05,0.0754,-3.762,0.0494,116.038,4,0.541
3,Make you happy,Make you happy,NiziU,2020-06-30,184520,2,7,1,0.78,0.0436,0.885,2.8e-05,0.105,-3.745,0.122,160.087,4,0.808
4,ドライフラワー,ドライフラワー,優里,2020-10-25,285586,77,7,1,0.463,0.426,0.624,0.0,0.221,-5.118,0.0274,147.929,4,0.521
5,香水,香水,Eito,2019-04-21,252594,56,3,1,0.848,0.824,0.352,0.0,0.0906,-6.838,0.041,121.833,4,0.776
6,裸の心,おいしいパスタがあると聞いて,Aimyon,2020-09-09,296653,69,8,1,0.559,0.537,0.448,1.85e-05,0.0915,-4.11,0.0275,148.02,4,0.354
7,感電,STRAY SHEEP,Kenshi Yonezu,2020-08-05,264533,4,8,0,0.633,0.107,0.723,0.0,0.0818,-5.733,0.143,103.101,4,0.688
8,白日,白日,King Gnu,2019-02-22,274912,2,1,1,0.606,0.672,0.902,0.0,0.289,-2.555,0.109,93.002,4,0.758
9,紅蓮華,Gurenge,LiSA,2019-07-03,238586,74,4,0,0.545,0.00339,0.979,0.000118,0.0775,-2.8,0.153,135.002,4,0.309
10,Pretender,Traveler,Official HIGE DANdism,2019-09-11,326842,70,8,1,0.538,0.047,0.869,0.0,0.14,-3.464,0.0275,91.972,4,0.369
11,Myra,Myra,Tani Yuuki,2020-07-01,255000,61,0,1,0.683,0.71,0.318,9.05e-05,0.167,-13.335,0.0349,144.027,4,0.587
12,snow jam,swipe sheep,Rin音,2020-06-10,185378,64,1,1,0.583,0.185,0.627,0.0,0.159,-5.842,0.201,172.016,4,0.805
13,キンモクセイ,イラつくときはいつだって,オレンジスパイニクラブ,2020-01-22,231435,7,5,1,0.554,0.0991,0.761,0.0,0.145,-3.937,0.034,105.041,4,0.327
14,虹,虹,Masaki Suda,2020-11-10,258733,71,5,1,0.548,0.071,0.6,0.0,0.192,-5.049,0.0297,143.961,4,0.296
15,不可幸力,strobo,Vaundy,2020-05-27,200243,71,11,0,0.69,0.0157,0.815,2.85e-06,0.0636,-5.227,0.0426,94.032,4,0.613
16,サントラ,サントラ,Creepy Nuts,2020-07-01,250566,28,2,1,0.695,0.179,0.908,0.0,0.367,-2.475,0.305,127.073,4,0.84
17,マリーゴールド,瞬間的シックスセンス,Aimyon,2019-02-13,306626,64,2,1,0.545,0.0452,0.745,0.0,0.0907,-3.098,0.0286,106.094,4,0.413
