"作業ID","作業者","作業者ページURL","承認日時","1. 1. 最近興味があるトピックを，複数個回答してください","2. 2. 1で回答したトピックに関するWebページのURLを合計20個になるように列挙してください","3. 3. 1で回答したトピック以外に興味があるトピックを1つ回答してください","5. 5. 検索結果中の上位10件の中で，1で入力したトピックも考慮して，興味にあったWebページのURLを0個から3個の範囲で回答してください．","6. 6. 検索結果中の上位10件の中で，最も分かりやすかったWebページのURLを1個だけ回答してください． "
"65985217","りりなりこ","http://crowdworks.jp/public/employees/3184242","2023-02-14 03:26:23","ラピスラズリ,銀細工,アンティーク,アフガニスタン","http://chickenstreet.jp/
その他、文字数制限にて、記載不可となります。別途メッセージにて、20個の列挙をさせていただきます。
よろしくお願い致します。","植物の剪定","https://andplants.jp/blogs/magazine/plants-pruning
https://gardenstory.jp/gardening/7185","https://antique-gallery-soleil.com/products/detail.php?product_id=158"
"65985227","Alice0303","http://crowdworks.jp/public/employees/4550563","2023-02-14 03:26:25","ゲーム,レシピ,パン,ケーキ,バレンタイン,癒し,温泉旅行,身体づくり,健康","www.gamemaga.jp
www.nintendo.co.jp
www.playstation.com/ja-jp/
www.kurashiru.com
oceans-nadia.com/
cookpad.com/
recipe.rakuten.co.jp/
delishkitchen.tv/
www2.chateraise.co.jp/
www.cozycorner.co.jp/
www.littlemermaid.jp/
www.andersen.co.jp
www.takaki-bakery.co.jp
www.kusatsu-onsen.ne.jp/top.php
kinosaki-spa.gr.jp/
www.hakone.or.jp/
the-ans.jp/training/58929/
melos.media/training/36561/
www.zenri-clinic.com/column/421","ポケモン","2.の回答でURLが入りきらなかったため、こちらに記載します(尚、2.の回答は400文字以内に収まりきらないため、https://は省略しています)。
www.kyoukaikenpo.or.jp/g4/cat410/sb4030/r91/


5.の回答
https://www.pokemon.co.jp/
https://www.pokemon-card.com/","https://www.pokemon.co.jp/"
"65985311","s16bit","http://crowdworks.jp/public/employees/113910","2023-02-14 03:26:26","機械学習,確定申告,有酸素運動,光熱費,旅行,マスク,カツサンド","400文字制限があり20個のURLを入力すると作業が完了できなかったため、後ほどメッセージから送ります。","雪まつり","https://www.hankyu-travel.com/kokunai/yukimatsuri/
https://www.his-j.com/kokunai/dst/hokkaido/sapporo/snow_fes/","https://www.snowfes.com/"
"65985324","こーじー","http://crowdworks.jp/public/employees/367640","2023-02-14 03:26:27","ダイエット,老眼,鶏胸肉,糖尿病,椎茸","失礼します。
WebページのURL20個を400文字以内で納める事は相当難しい為、メッセージからお送りします。
お手数をお掛けして申し訳ありませんが、よろしくお願い致します。","ランニング","https://runnet.jp/smp/community/beginner/basic/
https://www.descente.co.jp/media/sports/running/
https://www.runtage.com/blogs/blog/running-kyori","https://www.descente.co.jp/media/sports/running/"
"65985371","minshle","http://crowdworks.jp/public/employees/2349425","2023-02-14 03:26:41","4kモニター、オフィスチェア、マットレス、ポケモンカード、防寒グッズ、ダイエットアプリ、ミニマリスト、観葉植物、セルフカット、空気清浄機","文字数をオーバーしたためメッセージから納品致します。","自重トレーニング","https://smartlog.jp/49946
https://www.esquire.com/jp/menshealth/fitness/g40266924/600-rep-test-self-weight-training-for-muscle-hypertrophy/
https://diamond.jp/articles/-/309373","https://smartlog.jp/49946"
"65985380","take8bu","http://crowdworks.jp/public/employees/4854693","2023-02-14 03:26:46","トルコ，Ｊリーグ，三笘薫，乃木坂46，ウエストランド，ロシア，WBC","https://www3.nhk.or.jp/news/html/20230210/k10013976791000.html
https://spojoba.com/articles/535
https://number.bunshun.jp/articles/-/856369
https://news.yahoo.co.jp/articles/f549189f58555ed48e48519e75dcb4180cf19680
https://news.yahoo.co.jp/articles/bffd060341dde12769fe60dc6e3d39a459c73371
https://www.bbc.com/japanese/64578167
https://www.j-cast.com/2023/01/29454980.html?p=all","レトロゲーム","https://retoro.g-player.com/
https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%88%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%A0
https://www.yomiuri.co.jp/economy/20230207-OYT1T50146/","https://ja.wikipedia.org/wiki/%E3%83%AC%E3%83%88%E3%83%AD%E3%82%B2%E3%83%BC%E3%83%A0"
"65985391","bint","http://crowdworks.jp/public/employees/2677151","2023-02-14 03:26:47","スマホゲーム, 料理, 投資","gamewith.jp
app.famitsu.com
appget.com
gameappch.com
www.4gamer.net
appmedia.jp
www.kyounoryouri.jp
delishkitchen.tv
www.kurashiru.com
www.kikkoman.co.jp
cookpad-video.jp
oceans-nadia.com
bazurecipe.com
www.meiji.co.jp
www.kewpie.co.jp
www.rakuten-sec.co.jp
www.daiwa.jp
www.matsui.co.jp
www.smtb.jp
www.morningstar.co.jp","ダイエット","https://medipalette.lotte.co.jp/diet/896
https://mame-clinic.jp/goodlife/yasetai
https://cp.glico.jp/powerpro/diet/entry81/","https://medipalette.lotte.co.jp/diet/896"
"65986127","yutapon1967","http://crowdworks.jp/public/employees/4087419","2023-02-14 03:26:58","ネコ，イヌ，パンダ，グルメ，旅行，アニメ，動画配信サービス，海外ドラマ，映画，パソコン，ラーメン","https://nekochan.jp
https://iwago.jp
https://www.petio.com
https://wanchan.jp
https://www.aws-s.com
https://www.gnavi.co.jp
https://tabelog.com
https://www.tour.ne.jp
https://www.ikyu.com
https://anime.eiga.com
https://animeanime.jp
https://animedb.jp
https://www.hulu.jp
https://dramanavi.net
https://filmarks.com
https://hm-hm.net
https://kakaku.com/pc
https://thehikaku.net
https://www.nissin.com
https://ichiran.com","ゲーム","https://www.famitsu.com
https://nekochan.jp
https://thehikaku.net","https://www.famitsu.com"
"65986131","miri04510","http://crowdworks.jp/public/employees/5208617","2023-02-14 03:27:00","チーズ,少年ジャンプ,King Gnu,カワウソ","https://x.gd/XYLbD
https://x.gd/IP97k
https://my-best.com/3577
https://x.gd/36Bds
https://x.gd/ELHUN
https://x.gd/33WRT
https://x.gd/JHFyr
https://jumpmatome2ch.biz/
https://www.jajanken.net/
https://x.gd/eBAJ4
https://kinggnu.jp/
https://x.gd/UgYRE
https://x.gd/bCMdg
https://x.gd/P5gtQ
https://x.gd/aXhuB
https://x.gd/o8UjM
https://lutra-rg.com/
https://x.gd/WDSqp
https://x.gd/1M9CR
https://ktm-kawaii.com/","アニメ","https://anime.eiga.com/program/
https://animeanime.jp/
https://www.animatetimes.com/tag/details.php?id=5228","https://anime.eiga.com/program/"
"65986142","kashitwtomo","http://crowdworks.jp/public/employees/3292962","2023-02-14 03:27:00","インボイス制度，，巨人キャンプ，詐欺グループルフィ","この設問は400文字以内に入らないのでメッセージで報告させていただきます。","中村奨吾が小競り合い","https://news.yahoo.co.jp/articles/550562913c410c6c81874404b1ff22e4eb233562
https://marines.nanj-antenna.net/35284/","https://news.yahoo.co.jp/articles/550562913c410c6c81874404b1ff22e4eb233562"
